,provinceName,provinceEnglishName,province_zipCode,cityName,cityEnglishName,city_zipCode,confirmed,cured,dead,updateTime,updateDate,dailyNew_confirmed,dailyNew_dead,dailyNew_cured
51210,广东省,Guangdong,440000,珠海,Zhuhai,440400.0,8,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51218,广东省,Guangdong,440000,肇庆,Zhaoqing,441200.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51215,广东省,Guangdong,440000,阳江,Yangjiang,441700.0,3,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51214,广东省,Guangdong,440000,韶关,Shaoguan,440200.0,3,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51286,广西壮族自治区,Guangxi,450000,北海,Beihai,450500.0,6,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51287,广西壮族自治区,Guangxi,450000,柳州,Liuzhou,450200.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51288,广西壮族自治区,Guangxi,450000,桂林,Guilin,450300.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51289,广西壮族自治区,Guangxi,450000,梧州,Wuzhou,450400.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51291,广西壮族自治区,Guangxi,450000,河池,Hechi,451200.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51290,广西壮族自治区,Guangxi,450000,百色,Baise,451000.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51298,江苏省,Jiangsu,320000,南京,Nanjing,320100.0,3,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51302,江苏省,Jiangsu,320000,南通,Nantong,320600.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51301,江苏省,Jiangsu,320000,扬州,Yangzhou,321000.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51303,江苏省,Jiangsu,320000,无锡,Wuxi,320200.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51299,江苏省,Jiangsu,320000,苏州,Suzhou,320500.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51300,江苏省,Jiangsu,320000,连云港,Lianyungang,320700.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51311,江西省,Jiangxi,360000,九江,Jiujiang,360400.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51308,江西省,Jiangxi,360000,南昌,Nanchang,360100.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51313,江西省,Jiangxi,360000,吉安,Ji'an,360800.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51309,江西省,Jiangxi,360000,抚州,Fuzhou,361000.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51312,江西省,Jiangxi,360000,新余,Xinyu,360500.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51310,江西省,Jiangxi,360000,萍乡,Pingxiang,360300.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51417,河北省,Hebei,130000,沧州,Cangzhou,130900.0,1,0,1,2020-01-24 17:18:21.875,2020-01-24,,,
51416,河北省,Hebei,130000,石家庄,Shijiazhuang,130100.0,1,0,0,2020-01-24 17:18:21.875,2020-01-24,,,
51295,河南省,Henan,410000,三门峡,Sanmenxia,411200.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51296,河南省,Henan,410000,信阳,Xinyang,411500.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51297,河南省,Henan,410000,周口,Zhoukou,411600.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51293,河南省,Henan,410000,巩义,,,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51294,河南省,Henan,410000,洛阳,Luoyang,410300.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51292,河南省,Henan,410000,郑州,Zhengzhou,410100.0,3,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51220,浙江省,Zhejiang,330000,台州,Taizhou,331000.0,18,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51224,浙江省,Zhejiang,330000,嘉兴,Jiaxing,330400.0,3,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51223,浙江省,Zhejiang,330000,宁波,Ningbo,330200.0,5,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51221,浙江省,Zhejiang,330000,杭州,Hangzhou,330100.0,6,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51222,浙江省,Zhejiang,330000,温州,Wenzhou,330300.0,6,1,0,2020-01-24 23:35:03.158,2020-01-24,,,
51227,浙江省,Zhejiang,330000,绍兴,Shaoxing,330600.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51226,浙江省,Zhejiang,330000,舟山,Zhoushan,330900.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51225,浙江省,Zhejiang,330000,衢州,Quzhou,330800.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51228,浙江省,Zhejiang,330000,金华,Jinhua,330700.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51306,海南省,Hainan,460000,万宁,Wanning,469006.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51305,海南省,Hainan,460000,三亚,Sanya,460200.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51307,海南省,Hainan,460000,临高县,,,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
